,number,value,datetime_start,datetime_complete,duration,params_addNoise,params_augmentation,params_decay,params_dropout,params_gainDiv,params_nfft,params_normParam,state
0,0,40.74074172973633,2023-01-11 10:08:02.321868,2023-01-11 10:08:34.574230,0 days 00:00:32.252362,0.0001297611993721115,polarityInversion,0.033485599357037564,0.03406693961680756,0.01027639201635103,384,2,COMPLETE
1,1,63.925926208496094,2023-01-11 10:08:34.577149,2023-01-11 10:09:04.342663,0 days 00:00:29.765514,0.0018824181334186662,polarityInversion,0.0006427842107899846,0.15639337922270571,0.00041993266276875685,768,12,COMPLETE
2,2,73.77777862548828,2023-01-11 10:09:04.344643,2023-01-11 10:09:33.973512,0 days 00:00:29.628869,0.0009534083361473088,noAugmentation,0.011526327974383986,0.015886786474824686,0.025886467014675636,640,11,COMPLETE
3,3,33.333335876464844,2023-01-11 10:09:33.975507,2023-01-11 10:10:04.681064,0 days 00:00:30.705557,0.0001833087553236663,noAugmentation,0.09766939761298729,0.22429091893942762,0.001403978106043185,128,0,COMPLETE
4,4,63.44444274902344,2023-01-11 10:10:04.684057,2023-01-11 10:10:39.415239,0 days 00:00:34.731182,0.09005482526103425,noAugmentation,0.0019289226631400774,0.0205969295424911,0.01593383958438141,640,5,COMPLETE
5,5,70.29629516601562,2023-01-11 10:10:39.418583,2023-01-11 10:11:09.495849,0 days 00:00:30.077266,0.004227167992929921,polarityInversion,0.01133680414355994,0.29262263581002146,0.023268009402300813,640,11,COMPLETE
6,6,70.29629516601562,2023-01-11 10:11:09.498796,2023-01-11 10:11:39.204499,0 days 00:00:29.705703,0.06960521148207004,timeInv,0.0022776553369752307,0.02343249903070198,0.0019660762139080638,256,7,COMPLETE
7,7,62.59259033203125,2023-01-11 10:11:39.207941,2023-01-11 10:12:07.881536,0 days 00:00:28.673595,0.39764491657392953,timeInv,0.0005670841895532912,0.038103051884768216,0.00010887566944761841,768,12,PRUNED
8,8,62.85185241699219,2023-01-11 10:12:07.883495,2023-01-11 10:12:37.701763,0 days 00:00:29.818268,0.00020249589438476622,timeInv,0.0003505931332765272,0.0699061191862336,0.00474962713694232,896,9,PRUNED
9,9,67.66666412353516,2023-01-11 10:12:37.703632,2023-01-11 10:13:08.941814,0 days 00:00:31.238182,0.0034243954723975696,timeInv,0.00010677288697763466,0.010498054976478247,0.00036768363146834636,1024,12,COMPLETE
10,10,72.85185241699219,2023-01-11 10:13:08.944806,2023-01-11 10:13:38.710827,0 days 00:00:29.766021,0.0011229657697143975,noAugmentation,0.00941896513569562,0.011433336871735122,0.07022894843140355,384,8,COMPLETE
11,11,69.0740737915039,2023-01-11 10:13:38.713819,2023-01-11 10:14:08.510729,0 days 00:00:29.796910,0.0007995122936125455,noAugmentation,0.009189207209471254,0.010139896857013362,0.09694607722308962,384,8,COMPLETE
12,12,63.33333206176758,2023-01-11 10:14:08.513721,2023-01-11 10:14:36.520306,0 days 00:00:28.006585,0.0008390156232643487,noAugmentation,0.009109897033108882,0.016989160624460427,0.099703934788289,512,5,PRUNED
13,13,73.48148345947266,2023-01-11 10:14:36.521806,2023-01-11 10:15:08.590646,0 days 00:00:32.068840,0.015856659554152615,noAugmentation,0.025007997622511373,0.09473455399738583,0.03962130417269942,512,9,COMPLETE
14,14,70.96296691894531,2023-01-11 10:15:08.593641,2023-01-11 10:15:38.323858,0 days 00:00:29.730217,0.026596374020134237,noAugmentation,0.03566081904942649,0.09359395402444129,0.0333354742241012,512,10,COMPLETE
15,15,68.96295928955078,2023-01-11 10:15:38.327194,2023-01-11 10:16:06.218479,0 days 00:00:27.891285,0.013292264661520779,noAugmentation,0.033618822177451324,0.4566240697935501,0.00664111342870156,768,10,PRUNED
16,16,69.0,2023-01-11 10:16:06.221266,2023-01-11 10:16:35.931025,0 days 00:00:29.709759,0.015802419388183078,noAugmentation,0.09885174757083014,0.07039206404736618,0.03390564075670094,640,6,PRUNED
17,17,69.48148345947266,2023-01-11 10:16:35.932979,2023-01-11 10:17:05.740667,0 days 00:00:29.807688,0.00046178165717327877,noAugmentation,0.01894778633965236,0.10776959431876859,0.03854840883787771,128,10,PRUNED
18,18,37.14814758300781,2023-01-11 10:17:05.742439,2023-01-11 10:17:35.552672,0 days 00:00:29.810233,0.00758516353475233,noAugmentation,0.0031022718401809853,0.04975352381040956,0.01226501919753084,512,3,PRUNED
19,19,67.62963104248047,2023-01-11 10:17:35.554628,2023-01-11 10:18:05.835541,0 days 00:00:30.280913,0.0657423623115721,polarityInversion,0.005715226488757225,0.1445730820778127,0.003472917287427023,896,8,PRUNED
